Índice de Gini (Pnad Contínua/A)
Sigla;Código;Estado;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;
AC;12;Acre;0,566;0,553;0,529;0,549;0,563;0,545;0,558;0,559;0,515;0,539;0,523;
AL;27;Alagoas;0,503;0,51;0,527;0,525;0,523;0,525;0,55;0,527;0,51;0,526;0,498;
AM;13;Amazonas;0,589;0,581;0,562;0,553;0,558;0,591;0,544;0,566;0,533;0,541;0,509;
AP;16;Amapá;0,528;0,513;0,523;0,548;0,555;0,589;0,547;0,513;0,5;0,53;0,531;
BA;29;Bahia;0,563;0,535;0,528;0,522;0,539;0,59;0,55;0,557;0,537;0,546;0,511;
CE;23;Ceará;0,545;0,537;0,522;0,528;0,543;0,547;0,547;0,562;0,544;0,549;0,518;
DF;53;Distrito Federal;0,601;0,579;0,574;0,581;0,579;0,593;0,57;0,554;0,548;0,566;0,536;
ES;32;Espírito Santo;0,489;0,499;0,501;0,505;0,51;0,506;0,509;0,52;0,484;0,509;0,493;
GO;52;Goiás;0,474;0,465;0,458;0,456;0,467;0,477;0,47;0,46;0,445;0,467;0,456;
MA;21;Maranhão;0,498;0,494;0,475;0,495;0,517;0,526;0,528;0,531;0,482;0,53;0,491;
MG;31;Minas Gerais;0,5;0,492;0,49;0,485;0,491;0,493;0,492;0,487;0,46;0,487;0,466;
MS;50;Mato Grosso do Sul;0,476;0,472;0,472;0,449;0,47;0,464;0,49;0,483;0,47;0,496;0,478;
MT;51;Mato Grosso;0,487;0,456;0,459;0,443;0,453;0,463;0,465;0,454;0,462;0,461;0,45;
PA;15;Pará;0,533;0,531;0,507;0,515;0,51;0,506;0,562;0,528;0,48;0,529;0,508;
PB;25;Paraíba;0,517;0,513;0,524;0,531;0,527;0,548;0,549;0,561;0,512;0,562;0,558;
PE;26;Pernambuco;0,573;0,566;0,566;0,567;0,567;0,551;0,534;0,574;0,536;0,579;0,515;
PI;22;Piauí;0,495;0,535;0,516;0,52;0,528;0,529;0,53;0,537;0,474;0,516;0,518;
PR;41;Paraná;0,483;0,473;0,464;0,453;0,477;0,481;0,492;0,477;0,462;0,475;0,47;
RJ;33;Rio de Janeiro;0,529;0,518;0,511;0,503;0,525;0,519;0,543;0,552;0,548;0,565;0,54;
RN;24;Rio Grande do Norte;0,508;0,505;0,51;0,518;0,543;0,523;0,54;0,554;0,512;0,587;0,526;
RO;11;Rondônia;0,487;0,475;0,443;0,462;0,465;0,447;0,496;0,472;0,439;0,459;0,447;
RR;14;Roraima;0,549;0,556;0,523;0,537;0,537;0,526;0,566;0,58;0,54;0,596;0,547;
RS;43;Rio Grande do Sul;0,495;0,477;0,479;0,467;0,473;0,481;0,487;0,482;0,476;0,468;0,467;
SC;42;Santa Catarina;0,435;0,428;0,408;0,414;0,421;0,414;0,417;0,421;0,412;0,424;0,419;
SE;28;Sergipe;0,569;0,572;0,543;0,539;0,567;0,551;0,578;0,581;0,524;0,568;0,528;
SP;35;São Paulo;0,511;0,51;0,507;0,513;0,524;0,526;0,538;0,526;0,522;0,533;0,5;
TO;17;Tocantins;0,507;0,515;0,498;0,506;0,489;0,495;0,529;0,53;0,485;0,514;0,507;
